Counter: 1600000	 Real goals: 69	Steps: 73452	Steps per episode: 367.3
Counter: 1800000	 Real goals: 50	Steps: 81909	Steps per episode: 409.5
Counter: 2000000	 Real goals: 30	Steps: 88634	Steps per episode: 443.2
Counter: 2200000	 Real goals: 114	Steps: 53258	Steps per episode: 266.3
Counter: 2400000	 Real goals: 151	Steps: 37143	Steps per episode: 185.7
Counter: 2600000	 Real goals: 27	Steps: 89428	Steps per episode: 447.1
Counter: 2800000	 Real goals: 104	Steps: 57943	Steps per episode: 289.7
Counter: 3000000	 Real goals: 152	Steps: 37107	Steps per episode: 185.5
Counter: 3200000	 Real goals: 146	Steps: 39637	Steps per episode: 198.2
Counter: 3400000	 Real goals: 15	Steps: 93636	Steps per episode: 468.2
Counter: 3600000	 Real goals: 178	Steps: 26560	Steps per episode: 132.8
Counter: 3800000	 Real goals: 75	Steps: 69975	Steps per episode: 349.9
Counter: 4000000	 Real goals: 155	Steps: 36246	Steps per episode: 181.2
Counter: 4200000	 Real goals: 125	Steps: 50007	Steps per episode: 250.0
Counter: 4400000	 Real goals: 103	Steps: 60516	Steps per episode: 302.6
Counter: 4600000	 Real goals: 0	Steps: 100000	Steps per episode: 500.0
