Episode    Status   Avg steps to goal    Total Goals     Counter        
0          1        222.0                1               845            
1          3        361.0                1               1042           
2          2        407.3                1               1418           
3          1        353.0                2               2142           
4          1        313.8                3               2848           
5          1        291.7                4               3674           
6          1        270.3                5               4337           
7          1        252.6                6               4936           
8          3        280.1                6               5062           
9          1        270.5                7               5695           
10         2        291.4                7               6500           
11         3        308.8                7               6871           
12         1        297.4                8               7508           
13         1        286.4                9               8006           
14         1        276.7                10              8545           
15         2        290.6                10              8933           
16         1        282.5                11              9500           
17         3        294.6                11              9814           
18         1        285.5                12              10377          
19         1        279.8                13              11130          
20         1        275.2                14              11919          
21         3        285.4                14              12164          
22         1        279.9                15              12793          
23         1        273.9                16              13321          
24         1        269.3                17              13844          
25         3        278.2                17              13913          
26         1        275.4                18              14618          
27         1        271.7                19              15305          
28         1        265.7                20              15678          
29         1        260.7                21              16115          
30         1        258.5                22              16870          
31         3        266.1                22              17239          
32         1        262.6                23              17928          
33         3        269.6                23              18103          
34         1        267.1                24              18782          
35         2        273.6                24              19397          
36         1        271.6                25              20182          
37         3        277.6                25              20900          
38         3        283.3                25              21057          
39         3        288.7                25              21725          
40         1        286.3                26              22451          
41         1        283.5                27              23043          
42         1        281.0                28              23753          
43         3        286.0                28              24574          
44         3        290.8                28              24695          
45         2        295.3                28              25311          
46         2        299.7                28              25775          
47         2        303.8                28              26468          
48         1        301.8                29              27270          
49         3        305.8                29              27385          
50         1        301.3                30              27713          
51         1        298.6                31              28403          
52         1        297.2                32              29329          
53         1        296.8                33              30432          
54         3        300.5                33              30655          
55         1        298.6                34              31444          
56         1        296.6                35              32218          
57         3        300.1                35              32791          
58         1        299.5                36              33840          
59         3        302.9                36              34664          
60         1        300.7                37              35329          
61         3        303.9                37              35460          
62         1        302.5                38              36376          
63         1        302.6                39              37526          
64         3        305.7                39              37882          
65         2        308.6                39              38348          
66         3        311.5                39              38627          
67         1        308.4                40              39001          
68         1        306.4                41              39739          
69         1        305.0                42              40560          
70         2        307.7                42              41510          
71         1        306.0                43              42236          
72         2        308.7                43              42859          
73         3        311.3                43              43175          
74         1        310.3                44              44218          
75         3        312.8                44              44283          
76         3        315.2                44              44811          
77         1        312.8                45              45282          
78         3        315.2                45              45407          
79         3        317.5                45              45614          
80         1        316.7                46              46585          
81         3        319.0                46              46814          
82         3        321.1                46              47029          
83         1        319.3                47              47746          
84         1        319.8                48              49199          
85         2        321.8                48              49616          
86         1        320.8                49              50548          
87         1        319.0                50              51238          
88         1        317.4                51              51988          
89         3        319.4                51              52349          
90         2        321.4                51              53173          
91         3        323.3                51              53294          
92         3        325.2                51              53893          
93         1        324.8                52              55030          
94         1        322.5                53              55389          
95         1        320.8                54              56037          
96         1        318.8                55              56530          
97         3        320.6                55              56652          
98         1        319.0                56              57255          
99         1        317.3                57              57832          
100        1        315.7                58              58465          
101        1        313.9                59              59058          
102        1        312.9                60              59876          
103        1        311.5                61              60475          
104        2        313.3                61              60880          
105        1        312.2                62              61688          
106        1        310.5                63              62219          
