Episodes: 0	Goals: 1	Out of bounds: 0	Total reward 0
Episodes: 500	Goals: 142	Out of bounds: 359	Total reward 17
Episodes: 1000	Goals: 308	Out of bounds: 693	Total reward 40
Episodes: 1500	Goals: 473	Out of bounds: 1028	Total reward 59
Episodes: 2000	Goals: 623	Out of bounds: 1378	Total reward 81
Episodes: 2500	Goals: 775	Out of bounds: 1726	Total reward 105
Episodes: 3000	Goals: 933	Out of bounds: 2068	Total reward 138
Episodes: 3500	Goals: 1102	Out of bounds: 2399	Total reward 173
Episodes: 4000	Goals: 1272	Out of bounds: 2729	Total reward 217
Episodes: 4500	Goals: 1420	Out of bounds: 3081	Total reward 258
Episodes: 5000	Goals: 1579	Out of bounds: 3422	Total reward 314
Episodes: 5500	Goals: 1760	Out of bounds: 3741	Total reward 378
Episodes: 6000	Goals: 1927	Out of bounds: 4074	Total reward 453
Episodes: 6500	Goals: 2093	Out of bounds: 4408	Total reward 522
Episodes: 7000	Goals: 2285	Out of bounds: 4716	Total reward 606
Episodes: 7500	Goals: 2450	Out of bounds: 5051	Total reward 688
Episodes: 8000	Goals: 2632	Out of bounds: 5369	Total reward 785
Episodes: 8500	Goals: 2808	Out of bounds: 5693	Total reward 888
Episodes: 9000	Goals: 3017	Out of bounds: 5984	Total reward 1013
Episodes: 9500	Goals: 3242	Out of bounds: 6259	Total reward 1156
Episodes: 10000	Goals: 3438	Out of bounds: 6563	Total reward 1280
Episodes: 10500	Goals: 3643	Out of bounds: 6858	Total reward 1412
Episodes: 11000	Goals: 3875	Out of bounds: 7126	Total reward 1572
Episodes: 11500	Goals: 4108	Out of bounds: 7393	Total reward 1733
Episodes: 12000	Goals: 4344	Out of bounds: 7657	Total reward 1900
Episodes: 12500	Goals: 4579	Out of bounds: 7922	Total reward 2067
Episodes: 13000	Goals: 4827	Out of bounds: 8174	Total reward 2247
Episodes: 13500	Goals: 5068	Out of bounds: 8433	Total reward 2420
Episodes: 14000	Goals: 5329	Out of bounds: 8672	Total reward 2607
Episodes: 14500	Goals: 5581	Out of bounds: 8920	Total reward 2797
Episodes: 15000	Goals: 5843	Out of bounds: 9158	Total reward 2993
Episodes: 15500	Goals: 6092	Out of bounds: 9409	Total reward 3201
Episodes: 16000	Goals: 6359	Out of bounds: 9642	Total reward 3395
Episodes: 16500	Goals: 6635	Out of bounds: 9866	Total reward 3611
Episodes: 17000	Goals: 6916	Out of bounds: 10085	Total reward 3829
Episodes: 17500	Goals: 7183	Out of bounds: 10318	Total reward 4043
Episodes: 18000	Goals: 7472	Out of bounds: 10529	Total reward 4266
Episodes: 18500	Goals: 7775	Out of bounds: 10726	Total reward 4511
Episodes: 19000	Goals: 8086	Out of bounds: 10915	Total reward 4767
Episodes: 19500	Goals: 8361	Out of bounds: 11140	Total reward 5012
